Subject,Horizon,dR,dI,rt,x0,z,A,T0
1,6,-1.666666667,1,0.39,0.045603575,0.708505141,-0.535633902,0.064435515
1,6,-16.33333333,-1,0.14,-0.179060805,0.613357823,-0.010128229,0.064435515
1,6,-13,0,0.26,-0.072000322,0.666097438,-0.337113642,0.064435515
1,6,-26.33333333,-1,0.3,-0.189775048,0.626272714,-0.17070967,0.064435515
1,6,16,0,0.49,-0.039938267,0.628644254,0.128572537,0.064435515
1,6,-24,0,0.64,-0.084126567,0.680303818,-0.513753227,0.064435515
1,1,-5.333333333,1,0.22,-0.015257096,0.725159611,-0.20117044,0.016273834
1,1,-17.66666667,1,1.18,-0.075786287,0.690325711,-0.437354243,0.016273834
1,1,33.5,0,0.46,0.137973392,0.900409013,0.593327651,0.016273834
1,1,30,0,0.18,0.12104444,0.890523717,0.526302518,0.016273834
1,6,-17,-1,0.21,-0.179776441,0.614218815,-0.020833659,0.064435515
1,6,-5.5,0,0.39,-0.063719987,0.65641127,-0.216677561,0.064435515
1,1,24.5,0,0.94,0.09430267,0.874989681,0.420977308,0.016273834
1,6,6.5,0,0.36,-0.050453654,0.6409134,-0.023979832,0.064435515
1,6,-15.5,0,0.32,-0.074758287,0.669326161,-0.377259002,0.064435515
1,1,-10,1,2.18,-0.038197266,0.711979216,-0.290537285,0.016273834
1,1,22.5,0,0.34,0.084542464,0.86934094,0.382677232,0.016273834
1,6,13.5,0,0.56,-0.042706427,0.631872977,0.088427176,0.064435515
1,1,6.333333333,-1,0.98,-0.031698771,0.889249978,0.12392323,0.016273834
1,6,4,-1,0.06,-0.157146234,0.587097544,0.316387367,0.064435515
1,6,10.5,0,0.84,-0.046027351,0.635747444,0.040252744,0.064435515
1,1,-0.333333333,-1,1.38,-0.064416615,0.870420843,-0.003743691,0.016273834
1,6,13.66666667,1,0.88,0.062560521,0.688702308,-0.289409026,0.064435515
1,1,5.333333333,1,0.69,0.037199015,0.755286227,0.003096632,0.016273834
1,6,-23.5,0,0.87,-0.083575886,0.679658074,-0.505724155,0.064435515
1,1,16,-1,2.02,0.015844266,0.916552224,0.309040264,0.016273834
1,1,14.5,0,0.36,0.045357758,0.846745978,0.229476928,0.016273834
1,1,35,1,0.56,0.1811397,0.839075878,0.571214429,0.016273834
1,1,16.5,0,0.49,0.055171783,0.852394719,0.267777004,0.016273834
1,6,21,-1,0.1,-0.138703712,0.565142229,0.589375817,0.064435515
1,1,-5.5,0,0.58,-0.052951153,0.790258573,-0.153523834,0.016273834
1,1,-25,1,0.43,-0.111542008,0.669613662,-0.577787856,0.016273834
1,1,-14,-1,0.97,-0.130981988,0.831821117,-0.265460878,0.016273834
1,6,-25,0,0.4,-0.085227772,0.681595307,-0.529811371,0.064435515
1,6,9,0,0.19,-0.047687436,0.637684678,0.016165528,0.064435515
1,1,14.33333333,-1,1.37,0.007646308,0.911844941,0.277123534,0.016273834
1,1,-2,0,0.97,-0.035767276,0.800143869,-0.086498701,0.016273834
1,1,21.5,0,0.38,0.079656152,0.86651657,0.363527194,0.016273834
1,6,-42,1,0.52,0.000899154,0.760595201,-1.183312381,0.064435515
1,1,2.5,0,1.57,-0.013644028,0.812853535,-0.000323529,0.016273834
1,6,-8.666666667,1,0.11,0.037853021,0.717545564,-0.648040911,0.064435515
1,6,-9.5,0,0.29,-0.068137331,0.661577226,-0.280910138,0.064435515
1,6,22.66666667,-1,0.46,-0.136890216,0.562989747,0.61613939,0.064435515
1,6,-28,0,0.1,-0.08853013,0.685469775,-0.577985804,0.064435515
1,6,-3.333333333,-1,0.24,-0.165068899,0.596568464,0.198627644,0.064435515
1,1,1,1,1.35,0.015897096,0.743047289,-0.079886866,0.016273834
1,1,-12.66666667,-1,1.94,-0.124529762,0.835586944,-0.239927494,0.016273834
1,6,-8.5,0,0.56,-0.067033238,0.660285737,-0.264851994,0.064435515
1,1,-4.666666667,-1,1.09,-0.085613591,0.858181906,-0.086727189,0.016273834
1,1,25,0,0.68,0.096739966,0.876401866,0.430552327,0.016273834
1,6,-1,0,0.43,-0.058747497,0.650599569,-0.144415913,0.064435515
1,1,-41.5,0,0.27,-0.226125191,0.688581244,-0.842925204,0.016273834
2,6,-27,0,0.15,0.20893509,0.777290179,-1.567342018,0.109950171
2,6,-1.333333333,1,0.93,0.127657849,0.767900164,-0.77562343,0.109950171
2,1,14,0,0.76,0.202934438,0.687654149,0.770616154,0.137420436
2,6,25,0,0.16,-0.238704116,0.736778796,0.981675845,0.109950171
2,1,-25.66666667,-1,0.36,-0.396453903,0.774618246,-1.359944513,0.137420436
2,6,-30,1,0.6,0.362224048,0.790233362,-2.180851226,0.109950171
2,1,-1.666666667,-1,0.77,-0.088112711,0.729410792,-0.020179905,0.137420436
2,1,-28.66666667,-1,0.13,-0.430753162,0.780269178,-1.527415088,0.137420436
2,6,-7,0,1.81,0.036865068,0.761708878,-0.586950533,0.109950171
2,6,-37.66666667,-1,0.31,0.162910526,0.774994218,-1.623766992,0.109950171
2,1,-17,1,0.21,-0.142882777,0.733800888,-1.043685634,0.137420436
2,6,-35.5,0,0.16,0.278916952,0.783912232,-1.9840084,0.109950171
2,1,14.5,0,0.63,0.209538787,0.686712327,0.798527917,0.137420436
2,6,-43.66666667,-1,0.44,0.213588006,0.779668609,-1.917884438,0.109950171
2,1,5,-1,0.4,0.003628358,0.716853166,0.35197693,0.137420436
2,6,9,0,0.58,-0.10289341,0.749243837,0.197362656,0.109950171
2,6,0,0,0.17,-0.024424885,0.756255422,-0.243813512,0.109950171
2,1,4.333333333,1,0.56,0.149312698,0.693616484,0.147216239,0.137420436
2,6,23.5,0,0.33,-0.226276281,0.737947393,0.908146483,0.109950171
2,1,-6.666666667,-1,0.59,-0.156034316,0.738829012,-0.299297532,0.137420436
2,6,0,0,0.43,-0.024424885,0.756255422,-0.243813512,0.109950171
2,6,16,-1,0.12,-0.296501856,0.733184393,1.006950161,0.109950171
2,1,-14.66666667,-1,0.5,-0.261468175,0.753898163,-0.745885734,0.137420436
2,6,7.666666667,1,0.26,0.049488605,0.760888578,-0.334447261,0.109950171
2,1,-5,1,1.08,0.021675733,0.711197161,-0.37380333,0.137420436
2,6,-10.33333333,-1,0.68,-0.074891294,0.753699773,-0.283898628,0.109950171
2,1,8.666666667,1,0.71,0.20717516,0.685454027,0.389118182,0.137420436
2,1,24.66666667,-1,0.06,0.26821589,0.679808169,1.449839595,0.137420436
